营业时间,11:00-22:00,,,,,10:30-22:00,,,,,
门,100/70(最后一场演出停售后，票房售卖）,,,,,,,,,,
门+剧,120/85,,,,,,,,,,
加购,40,,,,,,,,,,
《德化街》场次,17:10,17:10,17:10,17:10,17:10,"15:30
17:10","15:30
17:10",,,,
日期,6月8日,6月9日,6月10日,6月11日,6月12日,6月13日,6月14日,,,,
营业时间,11:00-22:00,,,,,10:30-22:00,,,,,
门,100/70,,,,,79.9（夜场）/158（夜场）,,,,,
门+剧,120/85,,,,,120/85/138,,,,,
加购,40,,,,,60,,,,,
《德化街》场次,17:00,17:00,17:00,17:00,17:00,"13:30
17:10","13:30
17:10",,,,
日期,6月15日,6月16日,6月17日,6月18日,6月19日,6月20日,6月21日,,,,
单门票,79.9（夜场）/158（夜场）,,全价100/优待70/单人夜场79.9/双人夜场158,,,,,,,,
营业时间,11:00-22:30,,,,10:00-22:00,10:00-22:30,,,,,
门+剧,120/85/138,,138,,158,,,,,,
加购,60,,,,,,,,,,
《德化街》场次,"13:30
17:10","13:30
17:10",17:10,17:10,"
15:30
17:10
","15:30
17:10
18:50","
15:30
",,,,
日期,6月22日,6月23日,6月24日,6月25日,6月26日,6月27日,6月28日,,,,
单门票,全价100/优待70/单人夜场79.9/双人夜场158,,,,,,,,,,
营业时间,11:00-22:30,,,,,,,,,,
门+剧,138,,,,,,,,,,
加购,40,,,,,,,,,,
《德化街》场次,17:10,17:10,17:10,17:10,17:10,"15:30
17:10","15:30
17:10",,,,
日期,6月29日,6月30日,7月1日,7月2日,7月3日,7月4日,7月5日,,,,
单门票,全价100/优待70/单人夜场79.9/双人夜场158,,,,,,,,,,
营业时间,11:00-22:30,,,,,10:30-22:30,,,,,
门+剧,138,,,,,,,,,,
加购,40,,,,,,,,,,
《德化街》场次,17:10,17:10,17:10,17:10,17:10,"15:30
17:10","15:30
17:10",,,,
日期,7月6日,7月7日,7月8日,7月9日,7月10日,7月11日,7月12日,,,,
营业时间,11:00-22:30,,,,,10:30-22:30,,,,,
单门票,全价100/优待70/单人夜场88,,,,,,,,,,
门+剧,单人120/双人218,,,,,,,,,,
加购,40,,,,,,,,,,
《德化街》场次,17:10,17:10,17:10,17:10,17:10,"15:30
17:10","15:30
17:10",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
